iter	Passed	Remaining
663	12781	16092
664	12799	16071
665	12819	16053
666	12838	16033
667	12855	16012
668	12873	15990
669	12888	15966
670	12907	15946
671	12926	15927
672	12944	15906
673	12963	15886
674	12980	15864
675	12999	15845
676	13017	15825
677	13034	15802
678	13052	15782
679	13069	15760
680	13089	15741
681	13107	15721
682	13126	15701
683	13144	15681
684	13162	15660
685	13181	15641
686	13201	15623
687	13217	15600
688	13232	15575
689	13248	15553
690	13267	15532
691	13288	15515
692	13307	15496
693	13324	15475
694	13343	15455
695	13364	15438
696	13384	15419
697	13400	15397
698	13419	15378
699	13436	15356
700	13451	15332
701	13469	15311
702	13487	15290
703	13503	15268
704	13521	15247
705	13540	15227
706	13559	15208
707	13576	15187
708	13596	15169
709	13616	15150
710	13632	15127
711	13650	15107
712	13670	15089
713	13690	15070
714	13711	15053
715	13727	15031
716	13745	15010
717	13763	14990
718	13780	14968
719	13799	14949
720	13818	14929
721	13836	14909
722	13854	14889
723	13870	14867
724	13888	14846
725	13905	14825
726	13924	14805
727	13940	14783
728	13958	14762
729	13978	14744
730	13999	14726
731	14018	14707
732	14036	14687
733	14056	14668
734	14076	14650
735	14094	14630
736	14111	14609
737	14130	14590
738	14148	14569
739	14168	14551
740	14185	14529
741	14206	14512
742	14223	14491
743	14241	14470
744	14257	14448
745	14276	14429
746	14296	14411
747	14317	14394
748	14338	14377
749	14357	14357
750	14375	14337
751	14393	14317
752	14413	14298
753	14431	14278
754	14446	14254
755	14465	14236
756	14482	14214
757	14499	14193
758	14520	14175
759	14538	14156
760	14556	14135
761	14574	14115
762	14593	14096
763	14614	14078
764	14630	14056
765	14646	14034
766	14662	14012
767	14680	13992
768	14700	13973
769	14717	13952
770	14736	13934
771	14754	13913
772	14771	13892
773	14791	13874
774	14810	13854
775	14830	13836
776	14848	13816
777	14868	13797
778	14886	13778
779	14903	13757
780	14922	13737
781	14941	13718
782	14959	13698
783	14978	13678
784	14994	13657
785	15010	13635
786	15031	13617
787	15049	13597
788	15066	13576
789	15085	13557
790	15102	13536
791	15119	13515
792	15134	13492
793	15152	13472
794	15171	13453
795	15191	13435
796	15211	13417
797	15229	13397
798	15248	13377
799	15266	13357
800	15282	13335
801	15304	13319
802	15321	13299
803	15336	13276
804	15355	13257
805	15372	13236
806	15390	13216
807	15406	13194
808	15422	13172
809	15440	13153
810	15456	13131
811	15474	13111
812	15491	13090
813	15508	13069
814	15525	13048
815	15542	13028
816	15559	13007
817	15573	12984
818	15591	12964
819	15609	12944
820	15628	12925
821	15647	12906
822	15664	12885
823	15680	12863
824	15696	12842
825	15712	12821
826	15729	12800
827	15747	12780
828	15766	12761
829	15784	12741
830	15798	12718
831	15819	12701
832	15839	12682
833	15855	12661
834	15872	12640
835	15891	12621
836	15907	12600
837	15926	12581
838	15945	12562
839	15961	12540
840	15978	12520
841	15993	12498
842	16010	12477
843	16025	12455
844	16044	12437
845	16061	12416
846	16079	12396
847	16095	12374
848	16111	12353
849	16128	12333
850	16144	12312
851	16161	12291
852	16181	12274
853	16201	12255
854	16220	12236
855	16236	12215
856	16251	12193
857	16267	12172
858	16283	12151
859	16299	12130
860	16317	12110
861	16332	12088
862	16348	12067
863	16366	12047
864	16383	12027
865	16398	12005
866	16414	11984
