iter	TotalF1:average=Macro	MultiClass
442	0.820036418	0.461498552
443	0.8200929413	0.4613629178
444	0.8200955039	0.4611865566
445	0.8201276663	0.4610336997
446	0.82025494	0.4608488581
447	0.8202529649	0.4606689895
448	0.8202499227	0.4605356586
449	0.8203290791	0.460374426
450	0.8204844563	0.4602135599
451	0.8206188913	0.4600628493
452	0.8206731767	0.4599398309
453	0.8206617164	0.4597631556
454	0.8207527146	0.4595746496
455	0.8208435549	0.4594066118
456	0.8208400732	0.4592434947
457	0.8210507713	0.4590860312
458	0.821176698	0.4589392467
459	0.8213073342	0.458776339
460	0.8214791667	0.4586179332
461	0.8214988764	0.4584648147
462	0.8215199568	0.4582918037
463	0.821606422	0.4581387898
464	0.8216043115	0.4579724795
465	0.8217241433	0.4577874285
466	0.8217197989	0.4576331582
467	0.8217725415	0.4574706693
468	0.8217847601	0.4572958262
469	0.8218240366	0.4571211925
470	0.8219170642	0.4569682309
471	0.8220266462	0.4568039098
472	0.8222100554	0.4565771896
473	0.8221738616	0.4564473659
474	0.8221660567	0.4563035653
475	0.8222518738	0.4560944865
476	0.822404477	0.4559283855
477	0.8224190297	0.4557880922
478	0.8223434583	0.4556407843
479	0.8223210727	0.4554965126
480	0.8223645534	0.4553595172
481	0.8224312442	0.4551961384
482	0.8225128593	0.4550180497
483	0.8225512859	0.4548612667
484	0.8226630106	0.45468679
485	0.822834662	0.4544979699
486	0.8229059861	0.4543401923
487	0.8228992264	0.4541909475
488	0.8229128304	0.4540869316
489	0.8229918245	0.4539546476
490	0.8230234686	0.4538270226
491	0.8230330515	0.4537066216
492	0.8231208983	0.4535682129
493	0.823166219	0.4534394362
494	0.8232458953	0.4532806117
495	0.8233162446	0.4531148772
496	0.8233231015	0.4529639048
497	0.8234298836	0.4528189002
498	0.8235296639	0.4526488208
499	0.8236893823	0.4524814635
500	0.8238080839	0.4523302818
501	0.8238780418	0.4521986783
502	0.8239356392	0.4520401155
503	0.8240710277	0.4519255252
504	0.8241590901	0.4517505774
505	0.8242148463	0.451626355
506	0.8242488715	0.451468054
507	0.8244076756	0.4513234158
508	0.8244709089	0.4511754273
509	0.8244851222	0.4510658625
510	0.8245424907	0.4509160942
511	0.8246549597	0.4507603581
512	0.8246843417	0.4506313721
513	0.8247549951	0.4504810803
514	0.8247976231	0.4503580096
515	0.8248547937	0.4502168787
516	0.8248301313	0.4500903531
517	0.8248556707	0.4499205877
518	0.8249112677	0.4497852152
519	0.8249077664	0.4496356039
520	0.8250253116	0.4494994985
521	0.8250465143	0.449370146
522	0.825254845	0.449216661
523	0.8253183329	0.4490545385
524	0.8254088491	0.4489267564
525	0.8253987596	0.4487864632
526	0.8254016064	0.4486387888
527	0.8254768936	0.4484846232
528	0.825529342	0.4483506641
529	0.825610863	0.4482332993
530	0.825572005	0.4481190231
531	0.8257385478	0.4479631824
532	0.8257764357	0.4478368138
533	0.825804723	0.4476807637
534	0.8258916674	0.4475518823
535	0.8260257928	0.4474270318
536	0.8260901505	0.447280352
537	0.8262091662	0.4471597417
538	0.8262642921	0.4470007077
539	0.8263378086	0.446902136
540	0.8264282385	0.4467380243
541	0.826394174	0.446582393
542	0.8264500607	0.4464514177
543	0.8265529661	0.4463614834
544	0.8265055317	0.4462338584
545	0.8266182246	0.4460645119
546	0.8266493263	0.4459272024
547	0.8267153787	0.4457853911
548	0.8267267031	0.4456180861
549	0.8268458756	0.4454769029
550	0.8269061759	0.4453212193
551	0.8269030333	0.4451981485
552	0.8270130846	0.4450587452
553	0.8271067529	0.4449043179
554	0.8271598566	0.4447731332
555	0.8271976853	0.4446485444
556	0.8272787906	0.4445327501
557	0.8274173525	0.4444192068
558	0.8273431886	0.4442753015
559	0.8274560155	0.4441254285
560	0.8275184822	0.4440061792
561	0.8274962139	0.4438954627
562	0.8275447183	0.4437830187
563	0.8276187999	0.4436703129
564	0.8275883813	0.443545567
565	0.8277815026	0.4433649133
566	0.8278155458	0.4432494331
567	0.8278888439	0.4430998742
568	0.8279792186	0.4429570158
569	0.8279894404	0.4428066193
570	0.8280766296	0.4426531866
571	0.8280627942	0.442521112
572	0.828132723	0.4423983554
573	0.8281899127	0.4422557065
574	0.8281572949	0.4421154656
575	0.8282526102	0.4420020269
576	0.8283764968	0.4418592733
577	0.8282844174	0.4417075681
578	0.8284334093	0.4415796813
579	0.8285596555	0.4414235266
580	0.8285506057	0.4412833903
581	0.8286816348	0.4411679101
582	0.8286981169	0.4410125405
583	0.8287508588	0.4409060642
584	0.8288324824	0.4407680743
585	0.8289141035	0.440646417
586	0.8289002688	0.4405321408
587	0.8289106728	0.4404106929
588	0.8288712362	0.4402879362
589	0.8290023579	0.4401454443
590	0.8290487035	0.4400450404
591	0.8290189724	0.4398977848
592	0.8290810143	0.4397792161
593	0.8291904474	0.4396246841
594	0.8292760911	0.4395038643
595	0.8293195308	0.4393467149
596	0.8293165771	0.4392545297
597	0.8294864415	0.4391085043
598	0.8295311618	0.4389873181
599	0.8295808736	0.4388736439
600	0.8297171936	0.4387569335
601	0.8296779399	0.4386297273
602	0.8297266134	0.4385289308
603	0.8297349838	0.438435908
604	0.8297427537	0.4382856947
605	0.8299775418	0.4381840868
606	0.8299542075	0.438062063
607	0.8300578428	0.4379416621
608	0.8300520235	0.437792234
609	0.8300804899	0.4376265519
610	0.8301349982	0.4374940323
611	0.8301643804	0.4373582671
612	0.8302558254	0.4372238107
613	0.8302276577	0.4371499997
614	0.8303137932	0.4370251753
615	0.8302889478	0.4368981261
616	0.830377702	0.4367683549
617	0.8304385211	0.4366283233
618	0.830469446	0.4365117176
619	0.8305958022	0.4363769471
620	0.8306264739	0.4362638487
621	0.8306790684	0.4361176663
622	0.8308067594	0.4359843353
623	0.8307563217	0.4358954218
624	0.830833108	0.4357804913
625	0.8309302567	0.4356452234
626	0.8309160531	0.4355159495
627	0.8309276124	0.43542133
628	0.8310538575	0.4352833401
629	0.8310866929	0.4351964943
630	0.8311381762	0.4350997548
631	0.8311413427	0.4350058682
632	0.8312077333	0.4348974812
633	0.8312489926	0.4347533665
634	0.8313738905	0.4346051687
635	0.8314517601	0.4344939025
636	0.8315111657	0.4343645238
637	0.8315005262	0.4342705064
638	0.8315376165	0.4341740286
639	0.8315368414	0.4340406191
640	0.8316063503	0.4338823704
641	0.8316959077	0.4337531487
642	0.8317588364	0.4335996375
643	0.8318222311	0.4334967994
644	0.8318543144	0.4333770528
645	0.8318964805	0.4332846058
646	0.8319285211	0.4331695706
647	0.8318787601	0.4330693499
648	0.8319357475	0.432967899
649	0.8320072136	0.4328434411
650	0.8320919466	0.4327363889
651	0.8321357278	0.4326263268
652	0.8320883335	0.4325223632
653	0.8322018063	0.4324327953
654	0.832243257	0.4323340404
655	0.8322965067	0.4322255748
656	0.8323535998	0.4321077913
657	0.8325114887	0.4319413239
658	0.8324848102	0.4318255034
659	0.8325809424	0.4317011764
660	0.8326375385	0.4315786815
661	0.8326691581	0.4314624422
662	0.8326720749	0.4313224107
663	0.8327851297	0.4311838187
664	0.8328200012	0.4310501475
665	0.832921752	0.4309361069
666	0.8330590002	0.4308308084
667	0.8330746887	0.4307244891
668	0.8331648982	0.4306298959
669	0.8331940375	0.4305351979
670	0.833216957	0.4304213143
671	0.8333485727	0.430299055
672	0.8333987681	0.4301920814
673	0.8334429991	0.4300885889
674	0.8333926159	0.4299982882
675	0.8334708937	0.4298856086
676	0.8334682686	0.429772615
677	0.8333866436	0.4296901141
678	0.8334610665	0.4295856794
679	0.83344911	0.4294951693
680	0.8336063939	0.4293803958
681	0.8335853927	0.4292563566
682	0.8336842999	0.4291366101
683	0.8336499979	0.429022203
684	0.8337677299	0.4289269815
685	0.8337679632	0.4287915305
686	0.833787276	0.428686075
687	0.8338288234	0.4286007211
688	0.8339489753	0.4284790638
689	0.8339130867	0.4283920349
690	0.8340327816	0.4282863962
691	0.8341369225	0.4281592161
692	0.8342066408	0.4280268274
693	0.8342559038	0.427937626
694	0.8342766208	0.4278295793
695	0.8342519939	0.4277292015
696	0.8343797304	0.4276222017
697	0.8344189345	0.4275390204
698	0.8344287846	0.4273957956
699	0.8344949573	0.427290026
700	0.834586132	0.4272110848
701	0.8346641171	0.4271116232
702	0.8346825893	0.4269939444
703	0.8346781975	0.426915579
704	0.834745191	0.4268167979
705	0.8347615866	0.4266966325
706	0.8348143001	0.4265694525
707	0.8348714667	0.426436645
708	0.8350256692	0.4263081824
709	0.8350422474	0.4262087731
710	0.8352348843	0.4261025062
711	0.8352565136	0.4259923132
712	0.8352726796	0.4258701324
713	0.8354051214	0.4257405967
714	0.8355446406	0.4256351412
715	0.8354687753	0.4255578752
716	0.8356146378	0.4254284965
717	0.835586423	0.4253034366
718	0.8356379249	0.4251962797
719	0.8356469149	0.4251012153
720	0.8357298124	0.4249873841
721	0.8357023286	0.424880044
722	0.8358783584	0.4247554552
723	0.8358414412	0.4246618304
724	0.8358811867	0.4245414556
725	0.8359871704	0.4244424389
726	0.8360012927	0.4243412236
727	0.8360434038	0.4242539329
728	0.8360665694	0.4241369084
729	0.8360870977	0.4240421843
730	0.8362250085	0.4239029118
731	0.8362509633	0.4238096011
732	0.8363633832	0.4236918176
733	0.8364239733	0.4235836923
734	0.8365349707	0.4234605169
735	0.836597167	0.4233396971
736	0.8365403768	0.4232379322
737	0.8366348968	0.4231186305
738	0.836602058	0.4230280157
739	0.8366243608	0.4229057564
740	0.8366410305	0.4228073156
741	0.8367185757	0.4226940602
742	0.8366894114	0.42262729
743	0.8367696577	0.4225297914
744	0.8368332204	0.4224402497
745	0.8369438118	0.4223408404
746	0.8370388731	0.422231197
747	0.8370793306	0.4220914534
748	0.8370615553	0.4219820718
749	0.8370793238	0.4218833168
750	0.8371007527	0.4218098722
751	0.837107662	0.4216876915
752	0.8371758796	0.4215833614
753	0.8373197196	0.4214633007
754	0.8372370436	0.4213831032
755	0.8373311499	0.4212695076
756	0.8374025428	0.4211769559
757	0.8373888439	0.4210860793
758	0.837434898	0.4209634274
759	0.8374823699	0.4208504076
760	0.8376054784	0.4207521499
761	0.8375798208	0.4206521125
762	0.8376729434	0.4205575454
763	0.8377455266	0.4204189272
764	0.8377194809	0.4203449592
765	0.837775136	0.4202602597
766	0.8378612601	0.4201834387
767	0.8379173109	0.4200806791
768	0.8379226727	0.4199573467
